disease,symptom1,symptom2,symptom3,causes,remedies,dietary_recommendations
Ullrich Congenital Muscular Dystrophy,muscle weakness,joint deformities,skin problems,genetic mutation,"physical therapy, supportive care",balanced diet
Usher Syndrome,hearing loss,vision loss,balance problems,genetic mutation,"hearing aids, vision aids",balanced diet
WAGR Syndrome,Wilms tumor,vision problems,developmental delay,genetic mutation,"surgery, chemotherapy",balanced diet
Waardenburg Syndrome,hearing loss,pigmentation changes,eye abnormalities,genetic disorder,"hearing aids, supportive care",balanced diet
Williams Syndrome,cardiovascular problems,developmental delay,friendly personality,genetic mutation,"surgery, therapy",balanced diet
Zellweger Syndrome,liver dysfunction,developmental delay,neurological problems,genetic mutation,"supportive care, therapy",balanced diet
Sturge-Weber Syndrome,port-wine stain,seizures,developmental delay,abnormal blood vessels,"anti-seizure medication, surgery",balanced diet
Marfan Syndrome,tall stature,long limbs,heart issues,genetic disorder,"beta blockers, surgery",maintain a balanced diet
Loeys-Dietz Syndrome,curved spine,wide-set eyes,heart problems,genetic disorder,"surgery, medication",low-sodium diet
Prader-Willi Syndrome,excessive appetite,short stature,intellectual disability,genetic disorder,growth hormone therapy,calorie-controlled diet
Angelman Syndrome,frequent laughter,movement problems,seizures,genetic disorder,"anti-seizure medication, therapy",maintain proper nutrition
Rett Syndrome,loss of motor skills,seizures,breathing irregularities,genetic mutation,"supportive care, physical therapy",balanced diet
Alport Syndrome,blood in urine,hearing loss,vision issues,genetic disorder,"kidney transplant, hearing aids",low-sodium diet
Nail-Patella Syndrome,abnormal nails,kidney issues,joint pain,genetic disorder,"pain management, therapy",maintain hydration
Cowden Syndrome,skin growths,thyroid issues,gastrointestinal polyps,genetic mutation,"surgery, monitoring",high-fiber diet
Pierre Robin Sequence,small lower jaw,breathing issues,feeding difficulties,genetic disorder,"surgery, feeding support",nutrient-dense foods
Poland Syndrome,underdeveloped chest,missing hand muscles,asymmetric limbs,genetic disorder,"surgery, physical therapy",balanced diet
Klippel-Trenaunay Syndrome,varicose veins,port-wine stains,overgrowth of limbs,vascular malformation,"compression therapy, surgery",low-sodium diet
Holt-Oram Syndrome,heart defects,thumb abnormalities,skeletal issues,genetic disorder,"surgery, heart monitoring",heart-healthy diet
Treacher Collins Syndrome,underdeveloped facial bones,hearing loss,breathing difficulties,genetic disorder,"surgery, hearing aids",nutrient-dense foods
Charge Syndrome,ear abnormalities,heart defects,breathing issues,genetic mutation,"surgery, therapy",balanced diet
Proteus Syndrome,abnormal growth,asymmetric limbs,skin overgrowth,genetic disorder,"surgery, physical therapy",maintain hydration
WAGR Syndrome,Wilms tumor,vision problems,developmental delay,genetic disorder,"surgery, chemotherapy",nutrient-dense foods
Wolf-Hirschhorn Syndrome,delayed growth,intellectual disability,seizures,genetic mutation,"supportive care, physical therapy",calorie-rich diet
Goldenhar Syndrome,facial asymmetry,hearing loss,spinal problems,genetic disorder,"surgery, hearing aids",nutrient-rich diet
VACTERL Association,vertebral defects,anal atresia,heart defects,genetic disorder,"surgery, therapy",nutrient-dense diet
Beckwith-Wiedemann Syndrome,large tongue,low blood sugar,abdominal wall defects,genetic disorder,"surgery, monitoring",balanced diet
Klinefelter Syndrome,tall stature,small testes,breast development,extra X chromosome,"hormone therapy, fertility treatment",balanced diet
Fragile X Syndrome,intellectual disability,hyperactivity,speech delay,genetic mutation,"therapy, medication",nutrient-dense foods
DiGeorge Syndrome,immune deficiency,heart defects,cleft palate,genetic disorder,"surgery, calcium supplements",calcium-rich foods
Alagille Syndrome,jaundice,heart problems,bile duct abnormalities,genetic disorder,"liver transplant, heart surgery",low-fat diet
Mucopolysaccharidosis Type I (Hurler Syndrome),coarse facial features,organ enlargement,joint stiffness,enzyme deficiency,"enzyme replacement therapy, surgery",balanced diet
Carpenter Syndrome,fused fingers/toes,skull abnormalities,developmental delay,genetic disorder,"surgery, therapy",nutrient-dense diet
McCune-Albright Syndrome,cafe-au-lait spots,early puberty,bone fractures,genetic mutation,"hormone therapy, surgery",calcium-rich foods
Rubinstein-Taybi Syndrome,broad thumbs,intellectual disability,distinctive facial features,genetic disorder,"therapy, surgery",balanced diet
Joubert Syndrome,abnormal eye movements,breathing problems,developmental delay,genetic mutation,"therapy, supportive care",nutrient-rich diet
Bardet-Biedl Syndrome,vision loss,obesity,extra fingers/toes,genetic disorder,"diet management, vision support",low-calorie diet
Meckel-Gruber Syndrome,kidney cysts,extra fingers/toes,brain abnormalities,genetic disorder,supportive care,balanced nutrition
Smith-Lemli-Opitz Syndrome,small head,intellectual disability,webbed toes,enzyme deficiency,cholesterol supplementation,cholesterol-rich foods
Cornelia de Lange Syndrome,slow growth,limb abnormalities,intellectual disability,genetic disorder,"therapy, surgery",nutrient-dense diet
Miller-Dieker Syndrome,smooth brain surface,seizures,developmental delay,genetic disorder,"supportive care, therapy",balanced diet
Pallister-Killian Syndrome,skin pigmentation,intellectual disability,weak muscle tone,genetic disorder,"supportive care, therapy",maintain hydration
Cri-du-Chat Syndrome,high-pitched cry,developmental delay,intellectual disability,genetic mutation,"therapy, supportive care",balanced diet
Weaver Syndrome,rapid growth,intellectual disability,large hands/feet,genetic mutation,"therapy, surgery",nutrient-dense diet
Sotos Syndrome,large head,developmental delay,intellectual disability,genetic disorder,"therapy, supportive care",balanced nutrition
Pitt-Hopkins Syndrome,breathing irregularities,developmental delay,seizures,genetic mutation,"therapy, anti-seizure medication",balanced diet
Coffin-Lowry Syndrome,intellectual disability,short stature,skeletal abnormalities,genetic disorder,"supportive care, therapy",maintain proper nutrition
Oto-Palato-Digital Syndrome,hearing loss,cleft palate,skeletal abnormalities,genetic disorder,"surgery, hearing aids",nutrient-rich diet
Emanuel Syndrome,slow growth,intellectual disability,cleft palate,chromosomal abnormality,"therapy, surgery",balanced diet
Kabuki Syndrome,facial abnormalities,short stature,intellectual disability,genetic mutation,"therapy, surgery",nutrient-rich foods
Pallister-Hall Syndrome,extra fingers/toes,breathing issues,pituitary abnormalities,genetic mutation,"surgery, therapy",nutrient-dense diet
Lujan-Fryns Syndrome,intellectual disability,tall stature,long face,genetic mutation,"therapy, supportive care",maintain hydration
Williams Syndrome,overly friendly behavior,heart defects,developmental delay,genetic disorder,"surgery, therapy",low-calcium diet
Mowat-Wilson Syndrome,intellectual disability,seizures,distinctive facial features,genetic disorder,"therapy, surgery",balanced diet
